27/04/2016,Jantar,Frango Acebolado Opção Vegetariana: PVT Caipira Purê de Batata Sobremesa: Cocada Cremosa Ind Melão Minipão Suco
28/04/2016,Almoço,Saladas Diversas Filé de Coxa Assada Opção Vegetariana: PVT com Mandioca Creme de Milho Sobremesa: Brigadeirão Maçã Minipão Suco
28/04/2016,Jantar,Saladas Diversas Strogonoff de Carne Opção Vegetariana: PVT com Brócolis Batata Palha Sobremesa: Arroz doce Banana Minipão Suco
29/04/2016,Almoço,Saladas Diversas Copa Lombo ao Molho de Alecrim Opção Vegetariana: Ovo Cozido Virado de Abobrinha Sobremesa: Manjar com Calda Minipão Suco
29/04/2016,Jantar,Saladas Diversas Picadinho de Carne Opção Vegetariana: PVT Rico Macarrão ao Sugo Sobremesa: Gelatina de Cereja Mamão Minipão Suco
02/05/2016,Almoço,Saladas Diversas Isca de carne acebolada Opção Vegetariana: PVT Caipira Chuchu Refogado Sobremesa: Gelatina de Morango Banana Minipão Suco
02/05/2016,Jantar,Saladas Diversas Filé de Coxa Assado Opção Vegetariana: PVT com Jardineira de legumes Batata Palha Sobremesa: Arroz Doce Laranja Minipão Suco
03/05/2016,Almoço,Saladas Diversas Carne de Panela Opção Vegetariana: PVT ao Vinagrete Farofa Rica Sobremesa: Flan de Baunilha Laranja Minipão Suco
03/05/2016,Jantar,Saladas Diversas Jardineira de carne moída Opção Vegetariana: PVT Alemão Folhas Mistas Refogadas Sobremesa: Doce de Cocada cremosa Caqui Minipão Suco
04/05/2016,Almoço,Frango Xadrez Opção Vegetariana: Xadrez de PVT Repolho Refogado Sobremesa: Pudim de Chocolate mamão Minipão Suco
04/05/2016,Jantar,Carne em cubos Acebolada Opção Vegetariana: PVT Rica Abóbora Refogada Sobremesa: Gelatina de Abacaxi Banana Minipão Suco
05/05/2016,Almoço,Saladas Diversas Strogonoff de Carne Opção Vegetariana: Strogonoff de PVT Batata Palha Sobremesa: Found de Leite Caqui Minipão Suco
05/05/2016,Jantar,Saladas Diversas Filé de Frango à Pizzaiolo Opção Vegetariana: PVT Caipira Creme de milho Sobremesa: Doce de leite com morango Ponkan Minipão Suco
06/05/2016,Almoço,Penil em Cubos Acebolado Opção Vegetariana: PVT com Jardineira de legumes Berinjela Refogada Sobremesa: Flan de papaya Laranja
09/05/2016,Almoço,Saladas Diversas Bisteca Suína Opção Vegetariana: PVT Alemão Abobrinha Picante Sobremesa: Flan de Baunilha Melancia Minipão Suco Arroz Feijão Arroz Integral
09/05/2016,Jantar,Saladas Diversas Bife Grelhado Opção Vegetariana: PVT ao Pizzaiolo Cenoura Sautê Sobremesa: Doce de Leite Banana Minipão Suco Arroz Feijão Arroz Integral
10/05/2016,Almoço,Saladas Diversas Jardineira de Carne Moída Opção Vegetariana: PVT com mandioca Repolho Refogado Sobremesa: Curau Goiaba Minipão Suco
